Guruh,Sinf,Pozitsiya,Subpozitsiya
055 - КИМЁВИЙ ТОЛАЛАР,05511 - Чакана савдо учун тайёрланган сунъий толалардан иплар (тикув ипларидан ташқари),05511001 - Кимёвий толалардан таёрланган ип (тикув ипидан ташқари),05511001001 - Кимёвий толалардан тайёрланган ип (тикув ипларидан ташқари)
055 - КИМЁВИЙ ТОЛАЛАР,05512 - Синтетик толалардан тайёрланган матолар (шу жумладан аралаш),05512001 - Синтетик толалардан тайёрланган матолар (шу жумладан аралаш),05512001001 - Синтетик толалардан тайёрланган матолар (шу жумладан аралаш)
055 - КИМЁВИЙ ТОЛАЛАР,05512 - Синтетик толалардан тайёрланган матолар (шу жумладан аралаш),05512001 - Синтетик толалардан тайёрланган матолар (шу жумладан аралаш),05512001002 - Гипюр матоси
055 - КИМЁВИЙ ТОЛАЛАР,05516 - Сунъий толадан матолар,05516001 - Сунъий толадан матолар,"05516001001 - Мато босилган, сунъий штапел толалардан"
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,"05601001 - Пахта толасидан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар, тўқимачилик момиғи",05601001001 - Пахта толасидан тайёрланган пахта момиғи
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,"05601001 - Пахта толасидан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар, тўқимачилик момиғи",05601001002 - Пахтали таёқча
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,"05601001 - Пахта толасидан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар, тўқимачилик момиғи",05601001003 - Пахтали ёстиқча (диск)
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,"05601001 - Пахта толасидан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар, тўқимачилик момиғи",05601001004 - Текстиль пар
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,"05601001 - Пахта толасидан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар, тўқимачилик момиғи",05601001005 - Пахтадан лентаси
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,"05601001 - Пахта толасидан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар, тўқимачилик момиғи",05601001006 - IQOS учун тозалаш таёқчаси
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,"05601001 - Пахта толасидан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар, тўқимачилик момиғи",05601001007 - Пахта толасидан тайёрланган бошқа пахта маҳсулотлари
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,05601002 - Кимёвий толалардан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар,05601002003 - Кимёвий толалардан тайёрланган пахта момиғи
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05601 - Пахта момиғи ва ундан тайёрланган маҳсулотлар,05601002 - Кимёвий толалардан тайёрланган пахта момиғи ва ундан тайёрланган маҳсулотлар,05601002004 - Кимёвий толалардан тайёрланган бошқа пахта маҳсулотлари
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05602 - Жун ёки ҳайвонларнинг майин юнги, жут ва бошқа тўқимачилик материалларидан кигиз ёки фетр","05602001 - Жун ёки ҳайвонларнинг майин жуни, жут ва бошқа тўқимачилик материалларидан кигиз ёки фетр",05602001001 - Жун ёки ҳайвонларнинг майин жунидан кигиз ёки фетр
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05602 - Жун ёки ҳайвонларнинг майин юнги, жут ва бошқа тўқимачилик материалларидан кигиз ёки фетр","05602001 - Жун ёки ҳайвонларнинг майин жуни, жут ва бошқа тўқимачилик материалларидан кигиз ёки фетр",05602001002 - Бошқа тўқимачилик материалларидан кигиз ёки фетр
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05602 - Жун ёки ҳайвонларнинг майин юнги, жут ва бошқа тўқимачилик материалларидан кигиз ёки фетр","05602001 - Жун ёки ҳайвонларнинг майин жуни, жут ва бошқа тўқимачилик материалларидан кигиз ёки фетр",05602001003 - Жутдан кигиз ёки фетр
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05603 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001001 - Тўқилмаган материал (мато)
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05603 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001002 - Гидроизоляция мембранаси
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05603 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001003 - Синтепон
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05603 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001006 - Нотўқима матодан лента
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05603 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001011 - Флизелин
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05603 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001012 - Ватин
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05603 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001013 - Тўқилмаган материаллардан бошқа маҳсулотлар
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05603 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001 - Тўқилмаган материаллар ва улардан тайёрланган буюмлар,05603001014 - 100% синтетик нотўқима мато (геотекстиль)
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05604 - Резина ип ва шнур, тўқимачилик иплари","05604001 - Каучук ип ва шнур, тўқимачилик иплари",05604001001 - Резина ип ва шнур
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05604 - Резина ип ва шнур, тўқимачилик иплари","05604001 - Каучук ип ва шнур, тўқимачилик иплари",05604001002 - Тўқимачилик иплари
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05605 - Металл ип,05605001 - Металл ип,05605001001 - Металл ип
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05606 - Зар ип,05606001 - Зар ип,05606001001 - Зар ип
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05607 - Каучук ёки пластмассадан ясалган иплар, арқонлар, канатлар ва трослар ва улардан тайёрланган маҳсулотлар","05607001 - Каучук ёки пластмассадан ясалган иплар, арқонлар, канатлар ва трослар ва улардан тайёрланган маҳсулотлар",05607001001 - Каучук ёки пластмассадан ясалган ип
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05607 - Каучук ёки пластмассадан ясалган иплар, арқонлар, канатлар ва трослар ва улардан тайёрланган маҳсулотлар","05607001 - Каучук ёки пластмассадан ясалган иплар, арқонлар, канатлар ва трослар ва улардан тайёрланган маҳсулотлар",05607001003 - Каучук ёки пластмассадан ясалган канатлар
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05607 - Каучук ёки пластмассадан ясалган иплар, арқонлар, канатлар ва трослар ва улардан тайёрланган маҳсулотлар","05607001 - Каучук ёки пластмассадан ясалган иплар, арқонлар, канатлар ва трослар ва улардан тайёрланган маҳсулотлар",05607001004 - Каучук ёки пластмассадан ясалган арқонлар
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05607 - Каучук ёки пластмассадан ясалган иплар, арқонлар, канатлар ва трослар ва улардан тайёрланган маҳсулотлар","05607001 - Каучук ёки пластмассадан ясалган иплар, арқонлар, канатлар ва трослар ва улардан тайёрланган маҳсулотлар","05607001009 - Каучук ва пластмасса иплар, арқонлар, канатлардан тайёрланган бошқа маҳсулотлар"
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05608 - Ип, арқон ёки арқондан тўқилган тўр ва тўрлар; префабрик балиқ овлаш тўрлари ва бошқа йиғма тўрлар","05608001 - Ип, арқон ёки арқондан тўқилган тўр ва тўрлар; префабрик балиқ овлаш тўрлари ва бошқа йиғма тўрлар","05608001001 - Ип, арқон ёки канатлардан тўқилган тўрлар"
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05608 - Ип, арқон ёки арқондан тўқилган тўр ва тўрлар; префабрик балиқ овлаш тўрлари ва бошқа йиғма тўрлар","05608001 - Ип, арқон ёки арқондан тўқилган тўр ва тўрлар; префабрик балиқ овлаш тўрлари ва бошқа йиғма тўрлар",05608001004 - Полиэтилен тўр
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,"05608 - Ип, арқон ёки арқондан тўқилган тўр ва тўрлар; префабрик балиқ овлаш тўрлари ва бошқа йиғма тўрлар","05608001 - Ип, арқон ёки арқондан тўқилган тўр ва тўрлар; префабрик балиқ овлаш тўрлари ва бошқа йиғма тўрлар",05608001008 - Бошқа тайёр тўрлар
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05609 - Ип ёки ипдан тайёрланган буюмлар,05609001 - Ип ёки калава иплардан тайёрланган буюмлар,05609001002 - Пластик учли шнур
056 - ЮНГ ВА ТЎҚИЛМАЙДИГАН МАТEРИАЛЛАР,05609 - Ип ёки ипдан тайёрланган буюмлар,05609001 - Ип ёки калава иплардан тайёрланган буюмлар,05609001008 - Ип ёки калава иплардан тайёрланган бошқа маҳсулотлар
057 - ГИЛАМЛАР,05701 - Тўқилган гиламлар,05701001 - Ҳайвонларнинг юнги ёки нозик жунидан тугилган гиламлар,05701001001 - Тугилган гилам
057 - ГИЛАМЛАР,"05702 - Тўқилган гиламлар ва бошқа тўқимачилик пол қопламалари, тупланган ёки очилмаган, тўқилмаган ёки тузилмаган, шу жумладан килим, сумач, кермани ва шунга ўхшаш қўлда тўқилган гиламлар",05702001 - Бошқа тукли тўқилган гиламлар ва бошқа тўқимачилик пол қопламалари,05702001001 - Тўқилган гилам
057 - ГИЛАМЛАР,"05702 - Тўқилган гиламлар ва бошқа тўқимачилик пол қопламалари, тупланган ёки очилмаган, тўқилмаган ёки тузилмаган, шу жумладан килим, сумач, кермани ва шунга ўхшаш қўлда тўқилган гиламлар",05702001 - Бошқа тукли тўқилган гиламлар ва бошқа тўқимачилик пол қопламалари,05702001003 - Кимёвий ипдан тукли гилам
057 - ГИЛАМЛАР,"05702 - Тўқилган гиламлар ва бошқа тўқимачилик пол қопламалари, тупланган ёки очилмаган, тўқилмаган ёки тузилмаган, шу жумладан килим, сумач, кермани ва шунга ўхшаш қўлда тўқилган гиламлар",05702001 - Бошқа тукли тўқилган гиламлар ва бошқа тўқимачилик пол қопламалари,05702001004 - Гилам пояндоз
057 - ГИЛАМЛАР,"05702 - Тўқилган гиламлар ва бошқа тўқимачилик пол қопламалари, тупланган ёки очилмаган, тўқилмаган ёки тузилмаган, шу жумладан килим, сумач, кермани ва шунга ўхшаш қўлда тўқилган гиламлар",05702003 - Кокос ёнғоғи толасидан пол қопламалари,05702003001 - Ўсимлик толасидан гилам
057 - ГИЛАМЛАР,05703 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001001 - Тафтинг гилам
057 - ГИЛАМЛАР,05703 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001002 - Сунъий чим
057 - ГИЛАМЛАР,05703 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001003 - Тафтинг эшик олди гилами
057 - ГИЛАМЛАР,05703 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001005 - Кимёвий иплардан тайёрланган тўқимачилик пол қопламаси (гилам)
057 - ГИЛАМЛАР,05703 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001006 - Диатомитдан ҳаммом учун гиламча
057 - ГИЛАМЛАР,05703 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001008 - Пахтали гилам
057 - ГИЛАМЛАР,05703 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001 - Тайёрланган ёки тайёрланмаган гиламлар ва бошқа тўқимачилик пол қопламалари,05703001009 - Ёнғинга қарши гилам
057 - ГИЛАМЛАР,"05705 - Тўқилган гиламлар ва бошқа тўқима пол қопламалари, тайёр ёки тайёр бўлмаган",05705001 - Кимёвий тўқимачилик материалларидан тайёрланган гиламлар ва тўқимачилик пол қопламалари,05705001001 - Дезинфекция гиламчаси
057 - ГИЛАМЛАР,"05705 - Тўқилган гиламлар ва бошқа тўқима пол қопламалари, тайёр ёки тайёр бўлмаган",05705001 - Кимёвий тўқимачилик материалларидан тайёрланган гиламлар ва тўқимачилик пол қопламалари,05705001002 - Гилам жойнамоз
057 - ГИЛАМЛАР,"05705 - Тўқилган гиламлар ва бошқа тўқима пол қопламалари, тайёр ёки тайёр бўлмаган",05705001 - Кимёвий тўқимачилик материалларидан тайёрланган гиламлар ва тўқимачилик пол қопламалари,05705001003 - Гилам қопламаси
057 - ГИЛАМЛАР,"05705 - Тўқилган гиламлар ва бошқа тўқима пол қопламалари, тайёр ёки тайёр бўлмаган",05705002 - Бошқа тўқимачилик материалларидан гиламлар ва тўқимачилик пол қопламалари,05705002001 - Хаммом ва хожатхона учун 2 та гиламча тўплами
057 - ГИЛАМЛАР,"05705 - Тўқилган гиламлар ва бошқа тўқима пол қопламалари, тайёр ёки тайёр бўлмаган",05705002 - Бошқа тўқимачилик материалларидан гиламлар ва тўқимачилик пол қопламалари,05705002002 - Хаммом учун гилам
057 - ГИЛАМЛАР,"05705 - Тўқилган гиламлар ва бошқа тўқима пол қопламалари, тайёр ёки тайёр бўлмаган","05705003 - Гиламлар ва бошқа тўқимачилик пол қопламалари, тайёрланган ёки тайёрланмаган",05705003001 - Синтетик ипдан тукли гилам
058 - МАТОЛАР,05801 - Тукли газлама ва бахмал ипдан матолар,05801001 - Тукли мато ва бахмал ип матолари,05801001001 - Қозиқ матолари
058 - МАТОЛАР,05801 - Тукли газлама ва бахмал ипдан матолар,05801001 - Тукли мато ва бахмал ип матолари,05801001002 - Велюр мато
058 - МАТОЛАР,05801 - Тукли газлама ва бахмал ипдан матолар,05801001 - Тукли мато ва бахмал ип матолари,05801001003 - Плюш матоси
058 - МАТОЛАР,05801 - Тукли газлама ва бахмал ипдан матолар,05801001 - Тукли мато ва бахмал ип матолари,05801001004 - Вельвет-корд
058 - МАТОЛАР,"05802 - Тафтинг усулида тайёрланган тўқимачилик материаллари, пахмоқ сочиқ матолари ва шунга ўхшаш пахмоқ газламалар","05802001 - Тафтинг усулида тайёрланган тўқимачилик материаллари, пахмоқ сочиқ матолари ва шунга ўхшаш пахмоқ газламалар",05802001001 - Терри матолари
058 - МАТОЛАР,05803 - Бирламчи тўқиш матолар,05803001 - Бирламчи тўқиш матолар,05803001001 - Полиэстердан ўралган тўқув матолари
058 - МАТОЛАР,05803 - Бирламчи тўқиш матолар,05803001 - Бирламчи тўқиш матолар,05803001002 - Нафис мато
058 - МАТОЛАР,"05804 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари","05804001 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари",05804001001 - Тул
058 - МАТОЛАР,"05804 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари","05804001 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари",05804001002 - Эластик текстил лентаси
058 - МАТОЛАР,"05804 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари","05804001 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари",05804001003 - Кимёвий иплардан машинада тўқилган тўр
058 - МАТОЛАР,"05804 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари","05804001 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари",05804001005 - Фатин матоси
058 - МАТОЛАР,"05804 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари","05804001 - Тул ва бошқа тўр матолар, тўқилган, трикотаж  ёки қўлда тўқиладиганлардан ташқари",05804001006 - Бобинали тюль
058 - МАТОЛАР,"05805 - Белгия, Аубуссон, бовэ гобеленлари ва шунга ўхшаш гобеленлар каби қўлда тўқилган гобеленлар, тайёр ёки тайёрланмаган","05805001 - Белгия, Аубуссон, бовэ гобеленлари ва шунга ўхшаш гобеленлар каби қўлда тўқилган гобеленлар, тайёр ёки тайёрланмаган",05805001001 - Гобеленлар
058 - МАТОЛАР,"05805 - Белгия, Аубуссон, бовэ гобеленлари ва шунга ўхшаш гобеленлар каби қўлда тўқилган гобеленлар, тайёр ёки тайёрланмаган","05805001 - Белгия, Аубуссон, бовэ гобеленлари ва шунга ўхшаш гобеленлар каби қўлда тўқилган гобеленлар, тайёр ёки тайёрланмаган",05805001002 - Тайёр каштачилик
058 - МАТОЛАР,"05805 - Белгия, Аубуссон, бовэ гобеленлари ва шунга ўхшаш гобеленлар каби қўлда тўқилган гобеленлар, тайёр ёки тайёрланмаган","05805001 - Белгия, Аубуссон, бовэ гобеленлари ва шунга ўхшаш гобеленлар каби қўлда тўқилган гобеленлар, тайёр ёки тайёрланмаган",05805001003 - Канва тўқилган
058 - МАТОЛАР,05806 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001001 - Текстиль атлас тасма
058 - МАТОЛАР,05806 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001002 - Кипер лентаси
058 - МАТОЛАР,05806 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001003 - Балдук мато
058 - МАТОЛАР,05806 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001004 - Нейлон тўр
058 - МАТОЛАР,05806 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001005 - Полиэстердан тўқима тасма
058 - МАТОЛАР,05806 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001 - Елимлаш орқали маҳкамланган тор тўқувсиз матолар (болдюк),05806001006 - Ёпишувчан тасма
058 - МАТОЛАР,"05807 - Ёрлиқлар, эмблемалар ва шунга ўхшаш нарсалар","05807001 - Ёрлиқлар, эмблемалар ва шунга ўхшаш нарсалар","05807001001 - Ёрлиқлар, эмблемалар ва шунга ўхшаш нарсалар"
058 - МАТОЛАР,"05807 - Ёрлиқлар, эмблемалар ва шунга ўхшаш нарсалар","05807001 - Ёрлиқлар, эмблемалар ва шунга ўхшаш нарсалар",05807001002 - Термо этикетка
058 - МАТОЛАР,"05808 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари","05808001 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари",05808001001 - Тўқилган тесма
058 - МАТОЛАР,"05808 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари","05808001 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари",05808001002 - Репсли лентаси
058 - МАТОЛАР,"05808 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари","05808001 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари",05808001003 - Ипдан помпонлар
058 - МАТОЛАР,"05808 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари","05808001 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари",05808001004 - Парда учун корсетли тасма
058 - МАТОЛАР,"05808 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари","05808001 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари",05808001005 - Пардалар учун попук
058 - МАТОЛАР,"05808 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари","05808001 - Машинада ёки қўлда тўқилган тўқилган тўқув; машинада ёки қўлда тўқилган трикотаждан ташқари, парчада каштадўзлик бўлмаган пардозлаш материаллари",05808001006 - Боғичлар
058 - МАТОЛАР,"05810 - Парча, лента ёки алоҳида орнаментларга тикилган кашталар","05810001 - Парча, лента ёки алоҳида орнаментларга тикилган кашталар",05810001001 - Кўринадиган замин асоси бўлмаган кашталар
058 - МАТОЛАР,"05811 - Кийим-кечак, қоплама ёки шунга ўхшаш мақсадларда қўлланиладиган, бошқа жойда кўрсатилмаган ёки киритилмаган металл иплардан тўқилган матолар ва металл иплардан матолар","05811001 - Кийим-кечак, қоплама ёки шунга ўхшаш мақсадларда қўлланиладиган, бошқа жойда кўрсатилмаган ёки киритилмаган металл иплардан тўқилган матолар ва металл иплардан матолар",05811001001 - Қавилган тўқимачилик материали
058 - МАТОЛАР,"05811 - Кийим-кечак, қоплама ёки шунга ўхшаш мақсадларда қўлланиладиган, бошқа жойда кўрсатилмаган ёки киритилмаган металл иплардан тўқилган матолар ва металл иплардан матолар","05811001 - Кийим-кечак, қоплама ёки шунга ўхшаш мақсадларда қўлланиладиган, бошқа жойда кўрсатилмаган ёки киритилмаган металл иплардан тўқилган матолар ва металл иплардан матолар",05811001002 - Матраслар учун қавилган материал
059 - ТEХНИКА МАҚСАДЛАРИ УЧУН ТEКСТИЛ МАТEРИАЛЛАРИ,05901 - Китоб переплетларини ёки шу каби мақсадларни тайёрлаш учун ишлатиладиган тўқилган ёки крахмалли тўқимачилик материаллари; расмомчилик учун грунтовкаланган холст; бош кийимлар рамкалари учун бортовка ва шу каби қаттиқ тўқимачилик материаллари,"05901001 - Китоб жилдларини тайёрлаш ёки шу каби мақсадлар учун қўлланиладиган крахмалланган, смолаланган тўқимачилик материаллари ва бошқа қаттиқ тўқимачилик материаллари","05901001001 - Китоб жилдларини тайёрлаш ёки шу каби мақсадлар учун қўлланиладиган крахмалланган, смолаланган тўқимачилик материаллари"
059 - ТEХНИКА МАҚСАДЛАРИ УЧУН ТEКСТИЛ МАТEРИАЛЛАРИ,05901 - Китоб переплетларини ёки шу каби мақсадларни тайёрлаш учун ишлатиладиган тўқилган ёки крахмалли тўқимачилик материаллари; расмомчилик учун грунтовкаланган холст; бош кийимлар рамкалари учун бортовка ва шу каби қаттиқ тўқимачилик материаллари,"05901001 - Китоб жилдларини тайёрлаш ёки шу каби мақсадлар учун қўлланиладиган крахмалланган, смолаланган тўқимачилик материаллари ва бошқа қаттиқ тўқимачилик материаллари",05901001002 - Бошқа қаттиқ тўқимачилик материаллари
059 - ТEХНИКА МАҚСАДЛАРИ УЧУН ТEКСТИЛ МАТEРИАЛЛАРИ,"05902 - Нейлон ёки бошқа юқори мустаҳкамликдаги полиамид, полиэфир ёки вискоза иплардан тайёрланган шиналар учун корд материаллари","05902001 - Нейлон ёки бошқа юқори мустаҳкамликдаги полиамид, полиэфир ёки вискоза иплардан тайёрланган шиналар учун корд материаллари","05902001001 - Нейлон ёки бошқа юқори мустаҳкамликдаги полиамид, полиестер ёки вискоза иплардан тайёрланган шиналар учун корд материаллари"
059 - ТEХНИКА МАҚСАДЛАРИ УЧУН ТEКСТИЛ МАТEРИАЛЛАРИ,"05903 - Пластмасса билан сингдирилган, қопланган ёки ламинатланган тўқимачилик материаллари (барча шакл ва турдаги)",05903001 - Пластмасса билан қопланган тўқимачилик материаллари (барча шакл ва турлар),"05903001001 - Пластмасса билан сингдирилган, қопланган ёки ламинатланган тўқимачилик материаллари (барча шакл ва турдаги)"
059 - ТEХНИКА МАҚСАДЛАРИ УЧУН ТEКСТИЛ МАТEРИАЛЛАРИ,05904 - Линолиум,05904001 - Линолиум,05904001001 - Линолеум (барча турдаги)
059 - ТEХНИКА МАҚСАДЛАРИ УЧУН ТEКСТИЛ МАТEРИАЛЛАРИ,05904 - Линолиум,05904002 - Тўқимачиликга аосланган бошқа пол қопламалари (линолеумдан ташқари),05904002001 - Тўқимачиликка асосланган бошқа пол қопламалари
